application_id,dob,city,amount,total_price,monthly_income,credit_score,branch,importer_category,importer_name,vehicle_brand,vehicle_model,vehicle_category,fuel_type,created_at,status
A001,1986-05-12,Colombo,5000000,6500000,250000,720,Colombo,Authorized Agent,Toyota Lanka,Toyota,Yaris,Car,Petrol,2025-09-01,approved
A002,1992-11-02,Gampaha,3000000,4200000,180000,680,Gampaha,Importing Company,Indra Traders,BYD,Seal,Car,Electric,2025-09-01,rejected
A003,1979-01-20,Kandy,7500000,9000000,350000,780,Kandy,Authorized Agent,Stafford Motors,Honda,CR-V,SUV,Hybrid,2025-09-02,approved
A004,1995-07-30,Galle,2500000,3500000,150000,650,Galle,Personal Importer,Kamal Perera,Suzuki,Wagon R,Car,Petrol,2025-09-02,rejected
A005,1988-03-15,Jaffna,12000000,15000000,500000,810,Jaffna,Authorized Agent,Prestige Automobile,BMW,iX,SUV,Electric,2025-09-03,approved
A006,1990-09-05,Colombo,4000000,5500000,200000,690,Nugegoda,Importing Company,Ideal Motors,Mahindra,XUV700,SUV,Diesel,2025-09-04,approved
A007,1998-06-25,Matara,800000,1200000,90000,610,Matara,Authorized Agent,David Pieris Motor,Bajaj,Pulsar,Motorcycle,Petrol,2025-09-05,rejected
A008,1985-04-10,Negombo,6000000,7800000,300000,740,Negombo,Authorized Agent,Kia Motors Lanka,Kia,Sportage,SUV,Petrol,2025-09-05,approved
A009,1993-12-01,Kandy,9500000,11000000,450000,790,Kandy,Importing Company,Sena Auto,Mercedes-Benz,C-Class,Car,Hybrid,2025-09-06,approved
A010,1991-02-18,Colombo,3200000,4000000,170000,660,Borella,Personal Importer,Nimali Silva,Toyota,Vitz,Car,Petrol,2025-09-07,rejected
A011,2000-08-08,Galle,2800000,3800000,140000,630,Galle,Importing Company,United Motors,Mitsubishi,Attrage,Car,Petrol,2025-09-08,rejected
A012,1982-10-22,Moratuwa,11000000,14000000,480000,820,Moratuwa,Authorized Agent,Hyundai Lanka,Hyundai,Ioniq 5,SUV,Electric,2025-09-08,approved
A013,1996-05-14,Kurunegala,3500000,4500000,160000,670,Kurunegala,Authorized Agent,AMW,Suzuki,Swift,Car,Petrol,2025-09-09,approved
A014,1989-11-30,Colombo,6500000,8000000,320000,750,Rajagiriya,Importing Company,Indra Traders,Toyota,Raize,SUV,Petrol,2025-09-10,approved
A015,1994-01-25,Anuradhapura,5500000,7200000,280000,710,Anuradhapura,Authorized Agent,Toyota Lanka,Toyota,Corolla Cross,SUV,Hybrid,2025-09-11,approved
A016,1987-07-07,Kandy,2000000,3000000,130000,640,Kandy,Personal Importer,Ravi Fernando,Honda,Fit,Car,Hybrid,2025-09-12,rejected
A017,1999-03-19,Gampaha,900000,1500000,100000,620,Gampaha,Authorized Agent,TVS Lanka,TVS,Apache,Motorcycle,Petrol,2025-09-13,rejected
A018,1984-09-12,Colombo,15000000,18000000,600000,850,Colombo,Authorized Agent,Prestige Automobile,Audi,Q5,SUV,Diesel,2025-09-14,approved
A019,1992-06-08,Nuwara Eliya,4500000,6000000,220000,700,Nuwara Eliya,Importing Company,Sena Auto,Perodua,Axia,Car,Petrol,2025-09-15,rejected
A020,1980-12-28,Jaffna,8000000,10000000,400000,770,Jaffna,Authorized Agent,Kia Motors Lanka,Kia,Seltos,SUV,Petrol,2025-09-16,approved
A021,1997-02-15,Colombo,7000000,8500000,330000,760,Bambalapitiya,Importing Company,Indra Traders,Toyota,CHR,SUV,Hybrid,2025-09-17,approved
A022,1983-08-20,Trincomalee,6000000,7500000,290000,730,Trincomalee,Authorized Agent,Stafford Motors,Honda,Vezel,SUV,Hybrid,2025-09-18,approved
A023,1995-04-05,Badulla,3800000,5000000,190000,680,Badulla,Authorized Agent,AMW,Nissan,Kicks,SUV,Petrol,2025-09-19,rejected
A024,1990-10-10,Colombo,9000000,12000000,420000,800,Dehiwala,Authorized Agent,Hyundai Lanka,Hyundai,Tucson,SUV,Diesel,2025-09-20,approved
A025,1986-06-18,Ratnapura,4200000,5800000,210000,690,Ratnapura,Personal Importer,Sunil Rathnayake,Mitsubishi,Mirage,Car,Petrol,2025-09-21,rejected
A026,1993-01-01,Gampaha,10000000,13500000,470000,830,Wattala,Importing Company,Sena Auto,MG,ZS EV,SUV,Electric,2025-09-22,approved
A027,1998-09-09,Kandy,2200000,3200000,145000,650,Peradeniya,Authorized Agent,Toyota Lanka,Toyota,Passo,Car,Petrol,2025-09-23,rejected
A028,1981-05-29,Galle,18000000,22000000,700000,840,Galle,Authorized Agent,Prestige Automobile,BMW,5 Series,Car,Diesel,2025-09-24,approved
A029,1994-11-11,Colombo,5000000,6300000,260000,710,Kotte,Importing Company,Ideal Motors,SsangYong,Tivoli,SUV,Petrol,2025-09-25,approved
A030,1988-02-02,Matale,4800000,6500000,240000,700,Matale,Authorized Agent,Kia Motors Lanka,Kia,Sonet,SUV,Petrol,2025-09-26,approved
